Autodesk 3ds Max 2017,866333DSMAX_2017_0F,662003DSMAX_F,662003DSMAX_T_F
Autodesk 3ds Max 2017 with SoftImage,866223DSMXS_2017_0F,863993DSMXS_F,863993DSMXS_T_F
Autodesk Advance Concrete 2017,86616ADSTCP_2017_0F,86374ADSTCP_F,86374ADSTCP_T_F
Autodesk Advance Steel 2017,86612ADSTPR_2017_0F,86376ADSTPR_F,86376ADSTPR_T_F
Autodesk Advance Steel 2017 with AutoCAD,86614ASPACD_2017_0F,86382ASPACD_F,86382ASPACD_T_F
Autodesk Alias AutoStudio 2017,86642ALAUST_2017_0F,86372ALAUST_F,86372ALAUST_T_F
Autodesk Alias Concept 2017,86641ALSCPT_2017_0F,86582ALSCPT_F,86582ALSCPT_T_F
Autodesk Alias Design 2017,86638DESNST_2017_0F,85100DESNST_F,85100DESNST_T_F
Autodesk Alias SpeedForm 2017,86737ALSSF_2017_0F,86582ALSSF_F,86582ALSSF_T_F
Autodesk Alias Surface 2017,86637SURFST_2017_0F,85300SURFST_F,85300SURFST_T_F
Autodesk Alias TC Integrator for GM 2017,86640ATCIGM_2017_0F,85666ATCIGM_F,85666ATCIGM_T_F
Autodesk Architecture Engineering and Construction Suite 2017,86786AECS_2017_0F,86786AECS_F, 
Autodesk AutoCAD 2017,86604ACD_2017_0F,64300ACD_F,64300ACD_T_F
Autodesk AutoCAD 2017 for Mac,86711ACDMAC_2017_0F,85876ACDMAC_F,85876ACDMAC_T_F
Autodesk AutoCAD Architecture 2017,86480ARCHDESK_2017_0F,65300ARCHDESK_F,65300ARCHDESK_T_F
Autodesk AutoCAD Civil 3D 2017,86718CIV3D_2017_0F,64900CIV3D_F,64900CIV3D_T_F
Autodesk AutoCAD Design Suite Premium 2017,86685DSPRM_2017_0F,85690DSPRM_F,85690DSPRM_T_F
Autodesk AutoCAD Design Suite Standard 2017,86683DSSTD_2017_0F,85689DSSTD_F,85689DSSTD_T_F
Autodesk AutoCAD Design Suite Ultimate 2017,86687DSADV_2017_0F,85691DSADV_F,85691DSADV_T_F
Autodesk AutoCAD Electrical 2017,86635ACAD_E_2017_0F,65500ACAD_E_F,65500ACAD_E_T_F
Autodesk AutoCAD Inventor LT Suite 2017,86746INVLTS_2017_0F,85622INVLTS_F, 
